"loc_rowid","pl_name","hostname","pl_letter","sy_snum","sy_pnum","sy_mnum","discoverymethod","disc_year","disc_facility","pl_controv_flag","pl_orbper","pl_orbpererr1","pl_orbpererr2","pl_orbperlim","pl_rade","pl_radeerr1","pl_radeerr2","pl_radelim"
"3001","Kepler-1853 b","Kepler-1853","b","1","1","0","Transit","2021","Kepler","0","48.88819885","","","0","1.519","","","0"
"3002","Kepler-1854 b","Kepler-1854","b","1","1","0","Transit","2021","Kepler","0","39.83110046","","","0","2.587","","","0"
"3003","Kepler-1855 b","Kepler-1855","b","1","1","0","Transit","2021","Kepler","0","0.72733098","","","0","1.216","","","0"
"3004","Kepler-1856 b","Kepler-1856","b","1","1","0","Transit","2021","Kepler","0","1.30200005","","","0","1.734","","","0"
"3005","Kepler-1857 b","Kepler-1857","b","1","1","0","Transit","2021","Kepler","0","8.94340992","","","0","1.961","","","0"
"3006","Kepler-1858 b","Kepler-1858","b","1","1","0","Transit","2021","Kepler","0","88.07160187","","","0","2.422","","","0"
"3007","Kepler-1859 b","Kepler-1859","b","1","1","0","Transit","2021","Kepler","0","2.72959995","","","0","1.583","","","0"
"3008","Kepler-186 b","Kepler-186","b","1","5","0","Transit","2014","Kepler","0","3.8867907","0.0000062","-0.0000063","0","1.07","0.12","-0.12","0"
"3009","Kepler-186 c","Kepler-186","c","1","5","0","Transit","2014","Kepler","0","7.267302","0.000012","-0.000011","0","1.25","0.14","-0.14","0"
"3010","Kepler-186 d","Kepler-186","d","1","5","0","Transit","2014","Kepler","0","13.342996","0.000025","-0.000024","0","1.4","0.16","-0.16","0"
"3011","Kepler-186 e","Kepler-186","e","1","5","0","Transit","2014","Kepler","0","22.407704","0.000074","-0.000072","0","1.27","0.15","-0.14","0"
"3012","Kepler-186 f","Kepler-186","f","1","5","0","Transit","2014","Kepler","1","129.9441","0.0013","-0.0012","0","1.17","0.08","-0.08","0"
"3013","Kepler-1860 b","Kepler-1860","b","1","1","0","Transit","2021","Kepler","0","12.73719978","","","0","1.139","","","0"
"3014","Kepler-1861 b","Kepler-1861","b","1","1","0","Transit","2021","Kepler","0","40.0306015","","","0","2.207","","","0"
"3015","Kepler-1862 b","Kepler-1862","b","1","1","0","Transit","2021","Kepler","0","16.05730057","","","0","2.203","","","0"
"3016","Kepler-1863 b","Kepler-1863","b","1","1","0","Transit","2021","Kepler","0","44.99760056","","","0","2.263","","","0"
"3017","Kepler-1864 b","Kepler-1864","b","1","1","0","Transit","2021","Kepler","0","3.88151002","","","0","0.754","","","0"
"3018","Kepler-1865 b","Kepler-1865","b","1","1","0","Transit","2021","Kepler","0","2.52400994","","","0","1.577","","","0"
"3019","Kepler-1866 b","Kepler-1866","b","1","1","0","Transit","2021","Kepler","0","11.66009998","","","0","2.082","","","0"
"3020","Kepler-1867 b","Kepler-1867","b","1","1","0","Transit","2021","Kepler","0","9.88735962","","","0","1.16","","","0"
"3021","Kepler-1868 b","Kepler-1868","b","1","1","0","Transit","2021","Kepler","0","211.0339966","","","0","3.15","","","0"
"3022","Kepler-1869 b","Kepler-1869","b","1","1","0","Transit","2021","Kepler","0","8.16736031","","","0","1.12","","","0"
"3023","Kepler-187 b","Kepler-187","b","1","2","0","Transit","2014","Kepler","0","4.938864","0.000058","-0.000058","0","1.41","0.28","-0.28","0"
"3024","Kepler-187 c","Kepler-187","c","1","2","0","Transit","2014","Kepler","0","10.640263","0.000048","-0.000048","0","2.67","0.52","-0.52","0"
"3025","Kepler-1870 b","Kepler-1870","b","1","1","0","Transit","2021","Kepler","0","3.60694003","","","0","2.101","","","0"
"3026","Kepler-1871 b","Kepler-1871","b","1","1","0","Transit","2021","Kepler","0","1.95270002","","","0","2.422","","","0"
"3027","Kepler-1872 b","Kepler-1872","b","1","1","0","Transit","2021","Kepler","0","3.82591009","","","0","2.384","","","0"
"3028","Kepler-1873 b","Kepler-1873","b","1","1","0","Transit","2021","Kepler","0","0.558842","","","0","1.626","","","0"
"3029","Kepler-1874 b","Kepler-1874","b","1","1","0","Transit","2021","Kepler","0","56.57320023","","","0","2.211","","","0"
"3030","Kepler-1875 b","Kepler-1875","b","1","1","0","Transit","2021","Kepler","0","34.45859909","","","0","3.227","","","0"
"3031","Kepler-1876 b","Kepler-1876","b","1","1","0","Transit","2021","Kepler","0","6.99202013","","","0","0.98","","","0"
"3032","Kepler-1877 b","Kepler-1877","b","1","1","0","Transit","2021","Kepler","0","2.37756991","","","0","0.624","","","0"
"3033","Kepler-1878 b","Kepler-1878","b","1","1","0","Transit","2021","Kepler","0","4.44587994","","","0","2.92","","","0"
"3034","Kepler-1879 b","Kepler-1879","b","1","1","0","Transit","2021","Kepler","0","10.61340046","","","0","2.065","","","0"
"3035","Kepler-188 b","Kepler-188","b","1","2","0","Transit","2014","Kepler","0","2.061897","0.00001","-0.00001","0","1.68","0.76","-0.76","0"
"3036","Kepler-188 c","Kepler-188","c","1","2","0","Transit","2014","Kepler","0","5.996553","0.000015","-0.000015","0","3.19","1.45","-1.45","0"
"3037","Kepler-1880 b","Kepler-1880","b","1","1","0","Transit","2021","Kepler","0","6.30921984","","","0","2.117","","","0"
"3038","Kepler-1881 b","Kepler-1881","b","1","1","0","Transit","2021","Kepler","0","159.3939972","","","0","2.981","","","0"
"3039","Kepler-1882 b","Kepler-1882","b","1","1","0","Transit","2021","Kepler","0","13.78730011","","","0","1.487","","","0"
"3040","Kepler-1883 b","Kepler-1883","b","1","1","0","Transit","2021","Kepler","0","103.427002","","","0","3.251","","","0"
"3041","Kepler-1884 b","Kepler-1884","b","1","1","0","Transit","2021","Kepler","0","8.98832035","","","0","1.814","","","0"
"3042","Kepler-1885 b","Kepler-1885","b","1","1","0","Transit","2021","Kepler","0","2.52255988","","","0","1.511","","","0"
"3043","Kepler-1886 b","Kepler-1886","b","1","1","0","Transit","2021","Kepler","0","24.2758007","","","0","2.582","","","0"
"3044","Kepler-1887 b","Kepler-1887","b","1","1","0","Transit","2021","Kepler","0","19.94750023","","","0","2.925","","","0"
"3045","Kepler-1888 b","Kepler-1888","b","1","1","0","Transit","2021","Kepler","0","11.39169979","","","0","1.326","","","0"
"3046","Kepler-1889 b","Kepler-1889","b","1","1","0","Transit","2021","Kepler","0","37.30369949","","","0","2.944","","","0"
"3047","Kepler-189 b","Kepler-189","b","1","2","0","Transit","2014","Kepler","0","10.399931","0.000085","-0.000085","0","1.21","0.61","-0.61","0"
"3048","Kepler-189 c","Kepler-189","c","1","2","0","Transit","2014","Kepler","0","20.134866","0.000057","-0.000057","0","2.38","1.19","-1.19","0"
"3049","Kepler-1890 b","Kepler-1890","b","1","1","0","Transit","2021","Kepler","0","4.82059002","","","0","0.869","","","0"
"3050","Kepler-1891 b","Kepler-1891","b","1","1","0","Transit","2021","Kepler","0","4.02229023","","","0","1.521","","","0"
"3051","Kepler-1892 b","Kepler-1892","b","1","1","0","Transit","2021","Kepler","0","6.33123016","","","0","1.837","","","0"
"3052","Kepler-1893 b","Kepler-1893","b","1","1","0","Transit","2021","Kepler","0","4.17936993","","","0","1.706","","","0"
"3053","Kepler-1894 b","Kepler-1894","b","1","1","0","Transit","2021","Kepler","0","2.76266003","","","0","1.201","","","0"
"3054","Kepler-1895 b","Kepler-1895","b","1","1","0","Transit","2021","Kepler","0","6.07029009","","","0","2.119","","","0"
"3055","Kepler-1896 b","Kepler-1896","b","1","1","0","Transit","2021","Kepler","0","44.87020111","","","0","3.099","","","0"
"3056","Kepler-1897 b","Kepler-1897","b","1","1","0","Transit","2021","Kepler","0","24.22030067","","","0","2.814","","","0"
"3057","Kepler-1898 b","Kepler-1898","b","1","1","0","Transit","2021","Kepler","0","4.76562023","","","0","0.934","","","0"
"3058","Kepler-1899 b","Kepler-1899","b","1","1","0","Transit","2021","Kepler","0","4.0957799","","","0","1.551","","","0"
"3059","Kepler-19 b","Kepler-19","b","1","3","0","Transit","2011","Kepler","0","9.28716","0.00004","-0.00006","0","2.209","0.048","-0.048","0"
